system:index,elevation,.geo
159,2775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66708333336267,39.4987500000082]}"
160,2778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66625000002934,39.4987500000082]}"
161,2799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.665416666696,39.4987500000082]}"
162,2834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66458333336267,39.4987500000082]}"
163,2859,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66375000002934,39.4987500000082]}"
164,2884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.662916666696,39.4987500000082]}"
165,2914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66208333336267,39.4987500000082]}"
166,2939,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66125000002934,39.4987500000082]}"
167,2960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66041666669601,39.4987500000082]}"
168,2984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65958333336268,39.4987500000082]}"
169,3005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65875000002934,39.4987500000082]}"
170,3024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65791666669601,39.4987500000082]}"
171,3048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65708333336268,39.4987500000082]}"
172,3064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65625000002933,39.4987500000082]}"
173,3082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.655416666696,39.4987500000082]}"
174,3102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65458333336267,39.4987500000082]}"
175,3123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65375000002933,39.4987500000082]}"
176,3144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.652916666696,39.4987500000082]}"
177,3159,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65208333336267,39.4987500000082]}"
178,3176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65125000002934,39.4987500000082]}"
179,3187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.650416666696,39.4987500000082]}"
180,3204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64958333336267,39.4987500000082]}"
181,3224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64875000002934,39.4987500000082]}"
182,3249,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.647916666696,39.4987500000082]}"
183,3273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64708333336267,39.4987500000082]}"
184,3302,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64625000002934,39.4987500000082]}"
185,3333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64541666669601,39.4987500000082]}"
186,3363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64458333336268,39.4987500000082]}"
187,3393,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64375000002934,39.4987500000082]}"
188,3431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64291666669601,39.4987500000082]}"
189,3459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64208333336268,39.4987500000082]}"
190,3469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64125000002934,39.4987500000082]}"
191,3453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64041666669601,39.4987500000082]}"
192,3448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63958333336268,39.4987500000082]}"
193,3463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63875000002935,39.4987500000082]}"
194,3463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63791666669601,39.4987500000082]}"
195,3438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63708333336268,39.4987500000082]}"
196,3414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63625000002935,39.4987500000082]}"
197,3387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63541666669602,39.4987500000082]}"
198,3365,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63458333336268,39.4987500000082]}"
199,3347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63375000002935,39.4987500000082]}"
200,3335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63291666669602,39.4987500000082]}"
201,3323,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63208333336269,39.4987500000082]}"
202,3311,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63125000002935,39.4987500000082]}"
203,3315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63041666669602,39.4987500000082]}"
204,3334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62958333336269,39.4987500000082]}"
205,3354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62875000002934,39.4987500000082]}"
206,3375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62791666669601,39.4987500000082]}"
207,3399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62708333336268,39.4987500000082]}"
208,3404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62625000002934,39.4987500000082]}"
209,3408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62541666669601,39.4987500000082]}"
210,3411,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62458333336268,39.4987500000082]}"
211,3419,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62375000002935,39.4987500000082]}"
212,3428,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62291666669601,39.4987500000082]}"
213,3440,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62208333336268,39.4987500000082]}"
214,3446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62125000002935,39.4987500000082]}"
215,3456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62041666669602,39.4987500000082]}"
216,3468,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61958333336268,39.4987500000082]}"
217,3493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61875000002935,39.4987500000082]}"
218,3517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61791666669602,39.4987500000082]}"
219,3535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61708333336269,39.4987500000082]}"
220,3563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61625000002935,39.4987500000082]}"
221,3597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61541666669602,39.4987500000082]}"
222,3620,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61458333336269,39.4987500000082]}"
223,3645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61375000002936,39.4987500000082]}"
224,3704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61291666669602,39.4987500000082]}"
225,3731,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61208333336269,39.4987500000082]}"
226,3697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61125000002936,39.4987500000082]}"
227,3632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61041666669603,39.4987500000082]}"
228,3578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60958333336269,39.4987500000082]}"
229,3515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60875000002936,39.4987500000082]}"
230,3484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60791666669603,39.4987500000082]}"
231,3472,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.6070833333627,39.4987500000082]}"
232,3459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60625000002936,39.4987500000082]}"
233,3443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60541666669603,39.4987500000082]}"
234,3450,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.6045833333627,39.4987500000082]}"
235,3466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60375000002936,39.4987500000082]}"
236,3487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60291666669603,39.4987500000082]}"
237,3512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.6020833333627,39.4987500000082]}"
238,3535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60125000002937,39.4987500000082]}"
239,3555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60041666669602,39.4987500000082]}"
240,3228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69958333336265,39.49791666667487]}"
241,3223,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69875000002932,39.49791666667487]}"
242,3222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69791666669599,39.49791666667487]}"
243,3229,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69708333336266,39.49791666667487]}"
244,3234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69625000002932,39.49791666667487]}"
245,3238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69541666669599,39.49791666667487]}"
246,3239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69458333336266,39.49791666667487]}"
247,3233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69375000002933,39.49791666667487]}"
248,3225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.692916666696,39.49791666667487]}"
249,3205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69208333336266,39.49791666667487]}"
